,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
261,Xylan Mono,24,SubCommC77_rep0.0,0.0180515,0.021436156,0.003159012,0.029784975,1.264281922,0,0,0.162463499,0.016471994,0.179612424
262,Xylan Mono,24,SubCommC77_rep1.0,0.02486997,0.009691974,0.002194409,0.03127033,1.370225646,0,0,0.204994388,0.00566889,0.074244176
263,Xylan Mono,0,SubCommD11,0,0.0075,0,0,0,0,0,0,0,0.0075
264,Xylan Mono,24,SubCommD11_rep0.0,0,1.62898255,0,0,0,0,0,0,0,1.08851745
265,Xylan Mono,24,SubCommD11_rep1.0,0,1.736358967,0,0,0,0,0,0,0,1.095141033
266,Xylan Mono,24,SubCommD11_rep2.0,0,1.772645568,0,0,0,0,0,0,0,0.877691725
267,Xylan Mono,0,subcomm9,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0,0,0,0
268,Xylan Mono,24,subcomm9_rep0.0,0.045489358,0.060365607,0.028154224,0.055816671,0.556076662,0.565297478,0,0,0,0
269,Xylan Mono,24,subcomm9_rep1.0,0.066688215,0.083028156,0.030022981,0.06708675,0.758678075,0.391095824,0,0,0,0
270,Xylan Mono,24,subcomm9_rep2.0,0.054254019,0.055972958,0.028899665,0.058229066,0.649114419,0.468840669,0,0,0,0
271,Xylan Mono,12,subcomm9_rep0.0,0.025634035,0.142909747,0.001922553,0.018664782,0.441225834,0.514443048,0,0,0,0
272,Xylan Mono,12,subcomm9_rep2.0,0.036650798,0.219205011,0.003323939,0.023704931,0.566031775,0.247283546,0,0,0,0
273,Xylan Mono,6,subcomm9_rep0.0,0.014364949,0.04466576,0.007320132,0.00403255,0.091129163,0.030187446,0,0,0,0
274,Xylan Mono,6,subcomm9_rep1.0,0.015957423,0.050677099,0.005673046,0.004912414,0.0879956,0.026384418,0,0,0,0
275,Xylan Mono,6,subcomm9_rep2.0,0.015725484,0.050969366,0.005706152,0.005303365,0.090291468,0.029504164,0,0,0,0
276,Xylan Mono,0,SubCommB72,0.003,0.003,0,0.003,0,0,0,0.003,0,0.003
277,Xylan Mono,24,SubCommB72_rep0.0,0.538897413,0.436327527,0,0.535367101,0,0,0,0.065072244,0,0.319063908
278,Xylan Mono,24,SubCommB72_rep2.0,0.431812419,0.353859076,0,0.762039969,0,0,0,0.068746256,0,0.363373066
279,Xylan Mono,0,SubCommC70,0.00375,0,0.00375,0,0.00375,0.00375,0,0,0,0
280,Xylan Mono,24,SubCommC70_rep0.0,0.021877733,0,0.008129431,0,0.967163171,0.986291243,0,0,0,0
281,Xylan Mono,24,SubCommC70_rep1.0,0.023385304,0,0.006258039,0,0.953362843,0.890947138,0,0,0,0
282,Xylan Mono,24,SubCommC70_rep2.0,0.018028881,0,0.00675054,0,0.912063816,0.911816845,0,0,0,0
283,Xylan Mono,0,SubCommD21,0.005,0,0,0,0,0,0.005,0.005,0,0
284,Xylan Mono,24,SubCommD21_rep0.0,0.093587473,0,0,0,0,0,0.011606113,1.118934783,0,0
285,Xylan Mono,24,SubCommD21_rep1.0,0.226365501,0,0,0,0,0,0.015339563,0.894094839,0,0
286,Xylan Mono,24,SubCommD21_rep2.0,0.207378253,0,0,0,0,0,0.021456922,0.746410933,0,0
287,Xylan Mono,0,COMM10<BV,0.001067866,0.005035461,4.84E-05,0.000639451,0.000391512,0.000422649,0.000583521,0.000841262,0.000862596,0.000107248
288,Xylan Mono,24,COMM10<BV_rep0.0_passage1.0,0.005298496,1.435269034,0.008415258,0.018077221,0.295157389,0.133709102,0,0.00498682,0.066075361,0.04301132
289,Xylan Mono,24,COMM10<BV_rep1.0_passage1.0,0.009710585,0.994287707,0.012947446,0.036367092,0.582444675,0.246191881,0.003808072,0.011995428,0.09939069,0.064356424
290,Xylan Mono,24,COMM10<BV_rep2.0_passage1.0,0.010093451,0.66864975,0.026474625,0.032431416,0.667491485,0.312400576,0.002647463,0.013568245,0.125919936,0.093323053
291,Xylan Mono,0,COMM10<BV_rep0.0_passage2.0,0.000264925,0.071763452,0.000420763,0.000903861,0.014757869,0.006685455,0,0.000249341,0.003303768,0.002150566
292,Xylan Mono,0,COMM10<BV_rep1.0_passage2.0,0.000485529,0.049714385,0.000647372,0.001818355,0.029122234,0.012309594,0.000190404,0.000599771,0.004969534,0.003217821
293,Xylan Mono,0,COMM10<BV_rep2.0_passage2.0,0.000504673,0.033432488,0.001323731,0.001621571,0.033374574,0.015620029,0.000132373,0.000678412,0.006295997,0.004666153
294,Xylan Mono,24,COMM10<BV_rep1.0_passage2.0,0,0.508596869,0.169026223,0.035930724,0.97164775,0.338558513,0,0.030363992,0.06275225,0.469123679
295,Xylan Mono,24,COMM10<BV_rep2.0_passage2.0,0.002756133,0.323103578,0.123601959,0.034981687,1.10096908,0.342820528,0,0.027349319,0.050670443,0.482747274
296,Xylan Mono,0,COMM10<BV_rep1.0_passage3.0,0,0.025429843,0.008451311,0.001796536,0.048582387,0.016927926,0,0.0015182,0.003137613,0.023456184
297,Xylan Mono,0,COMM10<BV_rep2.0_passage3.0,0.000137807,0.016155179,0.006180098,0.001749084,0.055048454,0.017141026,0,0.001367466,0.002533522,0.024137364
298,Xylan Mono,24,COMM10<BV_rep0.0_passage3.0,0,0.08733165,0.128073845,0.039044604,1.709663229,0.521349202,0,0.0177304,0.041119438,0.121472101
299,Xylan Mono,24,COMM10<BV_rep2.0_passage3.0,0,0.055993593,0.1337811,0.04124079,1.284164442,0.717857982,0,0.023470368,0.093210892,0.149539776
300,Xylan Mono,0,COMM10<BV_rep0.0_passage4.0,0,0.004366582,0.006403692,0.00195223,0.085483161,0.02606746,0,0.00088652,0.002055972,0.006073605
301,Xylan Mono,0,COMM10<BV_rep2.0_passage4.0,0,0.00279968,0.006689055,0.00206204,0.064208222,0.035892899,0,0.001173518,0.004660545,0.007476989
302,Xylan Mono,24,COMM10<BV_rep0.0_passage4.0,0,0.013557918,0.041290022,0.081963774,2.22473102,0.117091106,0,0.067789588,0.041290022,0.253286551
303,Xylan Mono,24,COMM10<BV_rep1.0_passage4.0,0,0.012871933,0.053303004,0.035810377,2.155553669,0.149182401,0,0.051487731,0.050662607,0.221628279
304,Xylan Mono,24,COMM10<BV_rep2.0_passage4.0,0,0.007245983,0.03529495,0.046280796,2.249527161,0.116403213,0,0.038333588,0.051656848,0.20475746
305,Xylan Mono,0,COMM10<EL_passage2.0,0.001672504,0.000721541,8.58E-05,0.000956217,0.000851138,0.000796848,0.000792469,0.000755692,0.000991243,0.002376532
306,Xylan Mono,24,COMM10<EL_rep0.0_passage2.0,0,0.035803446,0.183125822,0.078063251,1.723260939,0.204842666,0,0.021716844,0.048716164,0.293470868
307,Xylan Mono,24,COMM10<EL_rep1.0_passage2.0,0.004422487,0.089613557,0.101018919,0.063078634,1.876996683,0.146174841,0,0.016060611,0.04492316,0.253711109
308,Xylan Mono,24,COMM10<EL_rep2.0_passage2.0,0.004920977,0.056591237,0.103750601,0.068278558,1.946451493,0.144963784,0,0.015583094,0.044493835,0.258966421
309,Xylan Mono,0,COMM10<EL_rep0.0_passage3.0,0,0.001790172,0.009156291,0.003903163,0.086163047,0.010242133,0,0.001085842,0.002435808,0.014673543
